"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",0.819963699503745,34.8511491252158,0.865272414283587,52.522385099049,0.36,0.8,100
"CEPH-Rtrend_covid",1.01071904543889,23.5630202991453,1.08807358302071,35.1106837606838,0.413354700854701,0.817094017094017,9360
"CFA-EpiAutoGP",0.992701718498591,22.9538695414168,1.08189367430313,34.5577373875328,0.452420981842636,0.902656355077337,5948
"CFA_Pyrenew-PyrenewHEW_COVID",0.72330018867149,13.9248833225022,0.792195143772058,21.031581485053,0.463355834136933,0.896335583413693,2074
"CFA_Pyrenew-Pyrenew_HE_COVID",0.690634386559212,12.6075664381346,0.764782599610132,19.3401713255185,0.4702434625789,0.906898106402164,4436
"CFA_Pyrenew-Pyrenew_HW_COVID",0.894029578761421,17.6865204939395,0.989903932996823,27.0216460513796,0.508087535680305,0.932921027592769,2102
"CFA_Pyrenew-Pyrenew_H_COVID",0.970579453394891,17.0830412110994,1.07997455930858,26.32712305026,0.453639514731369,0.906412478336222,4616
"CMU-TimeSeries",0.854337211880795,19.8798414770132,0.966776478233269,31.0200518721458,0.424435618729097,0.92318143812709,9568
"CMU-climate_baseline",1.88194460788105,54.2666085394297,1.46073687518985,57.2603744939271,0.68496963562753,0.990384615384615,3952
"CovidHub-baseline",1,23.3300888231211,1,33.4167013346555,0.621760033444816,0.941053511705686,9568
"CovidHub-ensemble",0.75434810233158,17.5748629497592,0.860495832051573,27.8645750246008,0.478469899665552,0.936350334448161,9568
"Google_SAI-Ensemble",0.875110675053539,14.331258338072,0.928769399795784,21.5688553537512,0.406873219373219,0.916488603988604,5616
"JHU_CSSE-CSSE_Ensemble",0.737850055817995,11.0237428333333,0.887663894913352,17.865,0.52,0.93,200
"MOBS-GLEAM_COVID",1.51214306564545,25.8398604460936,1.46733297921196,33.3703432741117,0.173857868020305,0.481598984771574,1576
"NEU_ISI-AdaptiveEnsemble",0.870198644564549,21.6774742790548,0.965615550424075,33.4965796454,0.386849085578668,0.809995811810694,7163
"OHT_JHU-nbxd",1.05697657661797,21.9835226501128,1.16364258962398,33.4069409660107,0.356551878354204,0.768895348837209,8944
"UGA_flucast-INFLAenza",0.729320009242475,16.2670488834309,0.819566778092572,25.3099244505494,0.446428571428571,0.897664835164835,8736
"UM-DeepOutbreak",1.17053317780371,22.4890951970407,1.22253186561274,32.8269803337608,0.660434472934473,0.928062678062678,5616
"UMass-ar6_pooled",0.89635478559793,19.2037561680327,0.994207224388125,29.8008699349538,0.555152394775036,0.953918722786647,8268
"UMass-gbqr",0.910345830607388,19.6751167897804,1.00560548143627,29.8482738494175,0.383768746976294,0.863570391872279,8268
