"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID",0.000928888303862864,0.00144199357490925,0.471141781681305,0.927227101631117,1630
"CFA_Pyrenew-Pyrenew_E_COVID",0.000881762414554676,0.00138248030306503,0.470496894409938,0.929503105590062,3434
"CFA_Pyrenew-Pyrenew_HE_COVID",0.000923212771501526,0.00143985032885224,0.470909675345548,0.92896174863388,3323
"CMU-TimeSeries",0.00166296037634156,0.00256740613903504,0.410318225650916,0.878174220507875,6712
"CovidHub-baseline",0.00165541965942317,0.00254614730655503,0.592622950819672,0.965737704918033,6600
"CovidHub-ensemble",0.000748056779797561,0.00112850026601788,0.575725026852846,0.955424274973147,2376
"UGA_flucast-INFLAenza",0.00108803941732259,0.00167985958953403,0.478107606679035,0.9139146567718,5880
