"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"CFA-EpiAutoGP",2026-09-19,0.845696129596204,0.845427972631778,0.000496674227452594,0.000493755476132701,0.89624859647441,0.896497029855964,0.000732044419944094,0.000727929740601271,0.551020408163265,0.959183673469388,147
"CFA-PyRenew_E",2026-09-19,0.834994935868391,0.83473766686989,0.000491119765159772,0.000488234676181528,0.953019412854924,0.953044722711631,0.000782085947287226,0.0007774922317314,0.395833333333333,0.9375,144
"CFA-PyRenew_HE",2026-09-19,0.836646006990062,0.836341754982245,0.000467078347423184,0.000464345239959071,0.963953879952385,0.963958222028682,0.000754382403030957,0.000749999113030633,0.391304347826087,0.934782608695652,138
"CFA_Pyrenew-Pyrenew_E_COVID",2026-08-29,1.44052436548136,1.43241927397564,0.00112896138761625,0.00111662287616603,1.45388790094577,1.44654460250162,0.00171420732864655,0.00169616664720102,0.472222222222222,0.902777777777778,144
"CFA_Pyrenew-Pyrenew_E_COVID",2026-09-05,1.29839921408125,1.2962253583496,0.00106870329849772,0.00106063354099599,1.48424843525159,1.48290212694885,0.00167425446338347,0.0016624409495781,0.381944444444444,0.902777777777778,144
"CFA_Pyrenew-Pyrenew_E_COVID",2026-09-12,0.719917381871774,0.720062754848741,0.0005315699023431,0.000528371888503549,0.856397008225162,0.856955827384573,0.000852988923666284,0.000847864905004636,0.5,0.98936170212766,141
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-08-29,1.40418467939995,1.39649981570959,0.00110048140948669,0.00108862235318505,1.41979221094792,1.412859628242,0.00167400678661607,0.00165666884688973,0.472222222222222,0.930555555555556,144
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-09-05,1.3292895309449,1.32682764884797,0.00109546763179581,0.00108689508180586,1.5032771639735,1.50181934224249,0.00169342082657699,0.00168118219999806,0.368794326241135,0.893617021276596,141
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-09-12,0.716711651795043,0.716933213302247,0.000529202867365565,0.000526075475078556,0.844477626742968,0.845172777452022,0.000841116976095688,0.000836206854271475,0.5,0.98936170212766,141
"CMU-TimeSeries",2026-08-29,0.820457215791695,0.818625311148901,0.000783533760459639,0.000777467361862517,0.841318314648084,0.83971979610922,0.00117536719082271,0.00116655494752121,0.535,0.935,204
"CMU-TimeSeries",2026-09-05,1.21920577828191,1.21489497481397,0.000985528268949569,0.000976322064489073,1.37159226244005,1.36692169835043,0.0015139759834358,0.00149962125860213,0.486666666666667,0.94,204
"CMU-TimeSeries",2026-09-12,0.810675515478241,0.81017406926885,0.000596295659730226,0.000592279066428285,0.945700515118343,0.945557977013301,0.000943201691080317,0.000936889295008269,0.46,0.97,204
"CMU-TimeSeries",2026-09-19,0.860737396010031,0.860620378808142,0.000499144898340227,0.000496302039837953,0.998868775952163,0.999028467898311,0.000805818810869064,0.000801200124654206,0.38,0.92,204
"CovidHub-baseline",2026-08-29,1,1,0.000900322083875752,0.000895530221250277,1,1,0.001313,0.00130587392539736,0.77,1,204
"CovidHub-baseline",2026-09-05,1,1,0.000818135858811849,0.000813356553744728,1,1,0.00111466666666667,0.00110786911606213,0.746666666666667,1,204
"CovidHub-baseline",2026-09-12,1,1,0.00073613916708728,0.00073162471021102,1,1,0.000995,0.000988485101528379,0.75,0.99,204
"CovidHub-baseline",2026-09-19,1,1,0.000584232934782609,0.000580978417356857,1,1,0.000814,0.000809202031719801,0.62,1,204
"CovidHub-ensemble",2026-08-29,0.716351709493295,0.715022298824939,0.000660978395295858,0.00065624287433821,0.751885644239284,0.750732736808624,0.00101578547072541,0.00100872671814497,0.555,0.96,204
"CovidHub-ensemble",2026-09-05,0.888321336655774,0.887007493190781,0.000720831021694717,0.000715567562790454,1.02012525252161,1.01904656274728,0.00113193683195398,0.0011238436505675,0.553333333333333,0.98,204
"CovidHub-ensemble",2026-09-12,0.659163103858658,0.659255622773139,0.000487328521997855,0.00048440828366181,0.777773101504397,0.778398089900637,0.000779893273867598,0.000775399236373971,0.54,1,204
"CovidHub-ensemble",2026-09-19,0.761668324553342,0.761665683620423,0.000444762256013208,0.000442290550620524,0.881535205581752,0.8818523465561,0.000715968823967765,0.000712015037906685,0.54,0.98,204
"UGA_flucast-INFLAenza",2026-08-29,0.630292083286801,0.62969206729217,0.000580038832864156,0.000576426541849948,0.676396625289988,0.67587556924603,0.000925067528003966,0.000919362152753316,0.540816326530612,0.959183673469388,200
"UGA_flucast-INFLAenza",2026-09-05,0.765154064911605,0.764675227184159,0.000628335016484384,0.000624272110417273,0.888004243258179,0.887777524215455,0.00099980531221841,0.000993438585171318,0.45578231292517,0.959183673469388,200
"UGA_flucast-INFLAenza",2026-09-19,0.904798024219311,0.904596771396004,0.000532602554556149,0.00052951941150146,1.03669255710096,1.03678689949389,0.000854321108034078,0.000849359536699522,0.408163265306122,0.897959183673469,200
