"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",0.871504736412238,34.8511491252158,0.91363239823628,52.522385099049,0.36,0.8,100
"CEPH-Rtrend_covid",0.998163986833263,28.3909344554311,1.08068525609739,42.879389632107,0.43046265328874,0.838768115942029,14352
"CFA-EpiAutoGP",1.05510067096835,22.9538695414168,1.14236059762594,34.5577373875328,0.452420981842636,0.902656355077337,5948
"CFA_Pyrenew-PyrenewHEW_COVID",0.780844481013067,13.4250382393263,0.851246584101708,20.320045045045,0.463063063063063,0.899099099099099,2220
"CFA_Pyrenew-Pyrenew_HE_COVID",0.769328491551818,13.0805858332412,0.833826047610323,19.8235561205957,0.473301852524519,0.911187795132583,5506
"CFA_Pyrenew-Pyrenew_HW_COVID",0.993016958097364,16.7322522234632,1.07620477953879,25.2053183791606,0.525325615050651,0.942112879884226,2764
"CFA_Pyrenew-Pyrenew_H_COVID",1.05524279736761,20.445121426956,1.14605457617498,31.1174337957125,0.473991172761665,0.916614123581337,6344
"CMU-TimeSeries",0.906352090015139,25.4930619477049,0.988736439795914,38.6523319650177,0.455406911928651,0.927745261984392,14352
"CMU-climate_baseline",2.09048001736931,67.3883713284073,2.10853522008721,99.2960184951852,0.582417582417582,0.976533882783883,8736
"CovidHub-baseline",1,27.9225803876439,1,39.4868130748615,0.605494505494505,0.911401098901099,14560
"CovidHub-ensemble",0.783871066269648,22.0597670236905,0.869771173648261,34.1308562467857,0.501442307692308,0.93592032967033,14560
"Google_SAI-Ensemble",0.865739526450057,14.6472122746178,0.913921771097018,22.0060692760055,0.427884615384615,0.924946581196581,7488
"JHU_CSSE-CSSE_Ensemble",1.20521089088243,49.3942897694666,1.24597805444044,69.514417570817,0.463879408418658,0.848976109215017,3516
"MOBS-GLEAM_COVID",1.27269798458699,39.3391129889055,1.32030776852739,55.9249382758621,0.264655172413793,0.658620689655172,5800
"NEU_ISI-AdaptiveEnsemble",0.962266634684769,29.9468799872861,1.05842667933823,45.7648133897653,0.374278568680262,0.79049634474798,10396
"OHT_JHU-nbxd",1.09981463517436,29.1106302551474,1.17199233695272,42.9931325120192,0.3408203125,0.750450721153846,13312
"UGA_flucast-INFLAenza",0.795605803060172,16.409588535302,0.883329929593336,25.4746209319527,0.461815828402367,0.908653846153846,10816
"UM-DeepOutbreak",1.16060377983945,32.2443248964965,1.15870276265343,45.1606393587698,0.652980769230769,0.935096153846154,10400
"UMass-ar6_pooled",0.90539199949122,24.5911130360245,0.978820145067764,37.2545482992211,0.554014710389212,0.947594238430892,13052
"UMass-gbqr",0.928406629439511,25.6645176306919,0.995880485385959,37.9525876413972,0.400398406374502,0.864924915721728,13052
