"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0,0.000334189800463019,0.00047029591362235,0.379310344827586,0.793103448275862,29
"CFA_Pyrenew-Pyrenew_E_COVID",1,0.000823733464913592,0.00118632354559987,0.5,0.892857142857143,29
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.00032329069690053,0.000466752643561963,0.357142857142857,0.821428571428571,28
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.000851985653134044,0.00121765053423772,0.518518518518518,0.851851851851852,28
"CMU-TimeSeries",0,0.00177722371730156,0.00192856735329095,0.44,0.92,25
"CMU-TimeSeries",1,0.00222038433000173,0.00272859481275913,0.375,0.875,25
"CMU-TimeSeries",2,0.00260524612309964,0.00347784284247664,0.260869565217391,0.91304347826087,25
"CMU-TimeSeries",3,0.00301342145491237,0.00428919901376691,0.227272727272727,0.772727272727273,25
"CovidHub-baseline",0,0.000719012717423309,0.0011,0.481481481481481,1,27
"CovidHub-baseline",1,0.00136841818381353,0.00218461538461538,0.461538461538462,1,27
"CovidHub-baseline",2,0.0019530176205476,0.003208,0.44,1,27
"CovidHub-baseline",3,0.00246422811688461,0.004,0.375,0.875,27
"CovidHub-ensemble",0,0.000241497166267078,0.000178973535807641,1,1,6
"CovidHub-ensemble",1,0.000338923965976214,0.000242018955874554,1,1,6
"CovidHub-ensemble",2,0.000405227907391755,0.000114451228406404,1,1,6
"CovidHub-ensemble",3,0.00048352329115796,0.000214095342030839,1,1,6
"UGA_flucast-INFLAenza",0,0.000426896147421825,0.000565273057209416,0.75,1,24
"UGA_flucast-INFLAenza",1,0.000653204186480216,0.000986798122242739,0.739130434782609,1,24
"UGA_flucast-INFLAenza",2,0.000853062390127959,0.00129120855744975,0.636363636363636,1,24
"UGA_flucast-INFLAenza",3,0.00102681311367926,0.0015589810379605,0.619047619047619,0.952380952380952,24
