"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0.000149639013541894,0.000230861054327277,0.559880239520958,0.976047904191617,474
"CFA_Pyrenew-Pyrenew_HE_COVID",0.000151318986250821,0.000232400263841181,0.571428571428571,0.964285714285714,408
"CMU-TimeSeries",0.000198026846207283,0.000292857609900856,0.476578411405295,0.928716904276986,988
"CovidHub-baseline",0.000458365485269562,0.000271257736030454,1,1,1008
"CovidHub-ensemble",0.000175701635271648,0.000268001694332973,0.484909456740443,0.933601609657948,994
"UGA_flucast-INFLAenza",0.000226331523592162,0.000357924832678527,0.408163265306122,0.871720116618076,592
