"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",2026-07-18,0.26094357891957,0.224257893337097,7.38313442889597,0.034434834801694,0.274453532653583,0.273390304667371,11.43206414883,0.0523844164599705,1,1,1
"CADPH-CovidCAT_Ensemble",2026-07-25,0.489742945093255,0.383141835055967,12.4166135684772,0.0492287602916911,0.425068235715563,0.405942491728256,14.5522648502855,0.0572512402579637,0.5,1,2
"CADPH-CovidCAT_Ensemble",2026-08-01,0.411475522563161,0.347358116848919,32.2677674679034,0.103276496275358,0.408883272875406,0.394182152835287,51.2499706516807,0.163155231382918,0.333333333333333,0.666666666666667,3
"CADPH-CovidCAT_Ensemble",2026-08-08,0.603312410764418,0.449786264955387,30.0068213214397,0.0853639962555311,0.608321088042701,0.603199177823073,43.623259353785,0.123768568094495,0.75,1,4
"CEPH-Rtrend_covid",2026-07-18,1.19432352682364,1.20937246682372,6.09591973244147,0.453326078494186,1.40873866111929,1.47693338312642,9.80769230769231,0.638992760098931,0.326923076923077,0.730769230769231,52
"CEPH-Rtrend_covid",2026-07-25,1.05579340422877,1.09668587120222,7.94206939799331,0.467388396475241,1.2280329837592,1.41302248214307,12,0.65431512517296,0.346153846153846,0.701923076923077,104
"CEPH-Rtrend_covid",2026-08-01,0.9746400685165,0.984482442799205,9.00946767001115,0.441631651274471,1.10292577208155,1.18987283707804,14.6410256410256,0.644029987471433,0.384615384615385,0.775641025641026,156
"CEPH-Rtrend_covid",2026-08-08,0.976236819970609,1.0762815882097,8.42053302675585,0.487662444702837,1.19998454854263,1.5013296592281,13.5625,0.682219535747819,0.375,0.788461538461538,208
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-07-18,0.479402723034831,0.509818773194862,2.74709396628216,0.216060897245864,0.496560684836543,0.675509769186603,4.20408163265306,0.361569241986041,0.591836734693878,0.959183673469388,49
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-07-25,0.510700887611144,0.523078269624177,4.14468514119229,0.242852617912758,0.598067223510621,0.737037616834493,6.37628865979381,0.377432434285824,0.639175257731959,0.938144329896907,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-08-01,0.425858630790476,0.472676937590215,3.89466528604119,0.216089080115206,0.473119983755833,0.629653539083858,6.1,0.341412534968499,0.663157894736842,0.957894736842105,95
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-08-08,0.976979937884674,0.620510497375073,6.50751254528986,0.244633802689465,1.15448864407744,0.947913296745944,9.80208333333333,0.3821704197668,0.583333333333333,0.927083333333333,96
"CFA_Pyrenew-Pyrenew_H_COVID",2026-07-18,0.781597874935845,0.723546228029079,3.95232685421995,0.273898466453041,0.91536557130625,1.04655927068681,6.36274509803922,0.466993141973926,0.568627450980392,0.92156862745098,51
"CFA_Pyrenew-Pyrenew_H_COVID",2026-07-25,0.770509643079375,0.712370958832169,5.9513299658994,0.31667933829798,0.863929856802681,1.02958763970334,8.77450980392157,0.507339407692192,0.5,0.941176470588235,102
"CFA_Pyrenew-Pyrenew_H_COVID",2026-08-01,0.807570117904296,0.808750290223918,6.64534884910486,0.35150898908758,0.893280023754591,1.08451376623397,10.4803921568627,0.566948908484059,0.46078431372549,0.92156862745098,102
"CFA_Pyrenew-Pyrenew_H_COVID",2026-08-08,0.75538528521232,0.585479195799001,4.99910880221654,0.238896352739646,0.86710735030341,0.895912244680719,7.15686274509804,0.366771723980499,0.656862745098039,0.990196078431373,102
"CMU-TimeSeries",2026-07-18,0.874481497369157,0.718996846661416,4.50711895895545,0.267946075936677,1.00358157263929,0.932035910958624,7.06927348189339,0.405168842697751,0.403846153846154,0.846153846153846,52
"CMU-TimeSeries",2026-07-25,0.966780592631133,0.727051922996932,7.2110049717023,0.300005974841757,1.09218242184265,0.976574216307469,10.5404728277251,0.438742155066832,0.432692307692308,0.826923076923077,104
"CMU-TimeSeries",2026-08-01,0.985620995099778,0.772567348889535,8.836730504943,0.332577419803407,1.04574074618215,0.98194027630661,13.4894652434108,0.515047650110798,0.378205128205128,0.871794871794872,156
"CMU-TimeSeries",2026-08-08,0.864168825792494,0.638717530989257,7.26541594395589,0.272510596269352,0.96815082023116,0.935535204806676,10.8371984655891,0.405427729460754,0.466346153846154,0.908653846153846,208
"CovidHub-baseline",2026-07-18,1,1,5.19827261705686,0.380134435687514,1,1,7.01923076923077,0.436870021564897,0.865384615384615,1,52
"CovidHub-baseline",2026-07-25,1,1,7.64272141165057,0.429599019548534,1,1,9.84614471144712,0.46446882680184,0.846153846153846,0.980769230769231,104
"CovidHub-baseline",2026-08-01,1,1,9.05656760841731,0.444086710782268,1,1,12.846150368555,0.523071513796164,0.897435897435897,1,156
"CovidHub-baseline",2026-08-08,1,1,8.43214919634805,0.45062365174378,1,1,10.8894242548195,0.433852628122136,0.908653846153846,1,208
"CovidHub-ensemble",2026-07-18,0.653600027882391,0.598132324128664,3.40044925930557,0.229248211830471,0.760711458340056,0.809095733658128,5.43823451807661,0.364701349372033,0.442307692307692,1,52
"CovidHub-ensemble",2026-07-25,0.62851896833078,0.567141310443405,4.90223443170565,0.251987441335422,0.686709287717767,0.770916022666272,7.18091373461338,0.387330245052015,0.605769230769231,0.932692307692308,104
"CovidHub-ensemble",2026-08-01,0.610665573129745,0.542867379544974,5.49190387533666,0.239267121317817,0.691609621486139,0.684401222687598,8.89482964901849,0.360639790016848,0.666666666666667,0.955128205128205,156
"CovidHub-ensemble",2026-08-08,0.566779633546157,0.581479283481332,4.77125016844165,0.269114067998247,0.637040954657036,0.901291230193004,7.01034883933857,0.418433546369276,0.615384615384615,0.956730769230769,208
