"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID",2025-06-28,0.721102501234829,0.721253823992449,0.000456264982216314,0.000454555493559266,0.936913936909957,0.937872119765516,0.000702844261678738,0.000700448377540465,0.444444444444444,0.9,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-05,0.847824443354425,0.847359424416882,0.000597369107627509,0.000593805300084811,1.0053324312479,1.0057023756011,0.000914001840668294,0.000908811789109544,0.433333333333333,0.888888888888889,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-12,0.694103698376119,0.693591312549184,0.000608129823467095,0.000603676854068584,0.737418771525503,0.737317496731021,0.000937004882209058,0.000930430073281689,0.533333333333333,0.944444444444444,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-19,0.676836122758331,0.677049917553886,0.000686229952680173,0.000681800671412865,0.652710816517343,0.653066784461709,0.0010787817769804,0.00107188554003159,0.4,0.933333333333333,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-26,0.732780153669642,0.733035653336751,0.000908466297145348,0.000900957215042591,0.70758541919149,0.707752255621654,0.00144011523959712,0.00142804774242055,0.355555555555556,0.888888888888889,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-02,0.633565989371122,0.633389626922194,0.000911348541773946,0.000903235923807922,0.590454776882968,0.590362116951295,0.00142051103288575,0.00140805096127616,0.489130434782609,0.891304347826087,92
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-09,0.574593866601425,0.574832164185982,0.000980434199048356,0.000969883027452267,0.554354499981684,0.554443648739559,0.00152725784132859,0.00151078391098738,0.5,0.968085106382979,94
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-16,0.568920146807087,0.568851582645744,0.00117254920425323,0.00115727656980939,0.532365829315895,0.532046576689891,0.00176490237036181,0.00174152737342584,0.543478260869565,0.956521739130435,92
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-23,0.722047869573786,0.721178945991884,0.00125236828041457,0.00123187384587708,0.664459206572178,0.663740807956355,0.00188253582550756,0.00185223656794554,0.585106382978723,0.904255319148936,94
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-30,NA,NA,0.00153794831109162,0.0015108342645738,NA,NA,0.00242802110942499,0.0023857757421049,0.436170212765957,0.946808510638298,94
