"model_id","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0.488471424835816,0.487535102633954,0.000342314086827975,0.000339632468265326,0.547000522440697,0.546339577889312,0.000479733003920608,0.00047610472774902,0.460674157303371,0.898876404494382,95
"CFA_Pyrenew-Pyrenew_HE_COVID",0.487425859460052,0.486600720598278,0.000342006208218904,0.000339409391288069,0.551044420034359,0.5504954326091,0.000486844744479148,0.000483262645576442,0.449438202247191,0.887640449438202,95
"CMU-TimeSeries",0.845273068690332,0.844767391400008,0.000891279146259872,0.000885973036636276,0.915843977673708,0.915865472271629,0.00125385807715773,0.00124666936977987,0.454022988505747,0.948275862068966,184
"CovidHub-baseline",1,1,0.000899569987567561,0.000894422937368138,1,1,0.00129823529411765,0.00129042216824403,0.770588235294118,0.994117647058824,180
"CovidHub-ensemble",0.526236900948646,0.525756211063091,0.000281974117933602,0.00028087998943845,0.536569770121835,0.536334582065773,0.000390861839242577,0.000389491282754721,0.706349206349206,1,136
"UGA_flucast-INFLAenza",0.431033935327494,0.430856596220904,0.000380310683132097,0.000378005793935944,0.39968108157185,0.399548933642273,0.000510271078353313,0.000507033181373468,0.858974358974359,0.993589743589744,164
