"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2026-06-27,0.000271206157339207,0.000384877915532027,0.319148936170213,0.851063829787234,47
"CFA_Pyrenew-Pyrenew_E_COVID",2026-07-04,0.00028258054056531,0.000408074751450216,0.368421052631579,0.852631578947368,95
"CFA_Pyrenew-Pyrenew_E_COVID",2026-07-11,0.000185735705214937,0.000304036061720678,0.427083333333333,0.947916666666667,96
"CFA_Pyrenew-Pyrenew_E_COVID",2026-07-18,0.00014756527321198,0.000206935322198925,0.625,0.989583333333333,96
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-06-27,0.000197720230815387,0.000295454830068408,0.340425531914894,0.872340425531915,47
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-07-04,0.000251382486185393,0.000366315820086865,0.344086021505376,0.806451612903226,93
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-07-11,0.00018601174809915,0.000302796772213773,0.446808510638298,0.946808510638298,94
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-07-18,0.000150333710154455,0.000213492259489788,0.572916666666667,0.989583333333333,96
"CMU-TimeSeries",2026-06-27,0.000200100962876239,0.000308220092863401,0.274509803921569,0.901960784313726,51
"CMU-TimeSeries",2026-07-04,0.000245280087096361,0.000378971601717371,0.294117647058824,0.882352941176471,102
"CMU-TimeSeries",2026-07-11,0.000269309681678591,0.000423150401695884,0.34640522875817,0.928104575163399,153
"CMU-TimeSeries",2026-07-18,0.000313815291174743,0.000491889263295782,0.441176470588235,0.941176470588235,204
"CovidHub-baseline",2026-06-27,0.000312132416879795,0.000268627450980392,1,1,51
"CovidHub-baseline",2026-07-04,0.000381905684011827,0.000323529411764706,0.990196078431373,1,102
"CovidHub-baseline",2026-07-11,0.000446161351598412,0.000364052287581699,0.986928104575163,1,153
"CovidHub-baseline",2026-07-18,0.000512880799121727,0.000432353314954718,0.975490196078431,1,204
"CovidHub-ensemble",2026-06-27,0.000177663236927554,0.00027752241256663,0.431372549019608,0.92156862745098,51
"CovidHub-ensemble",2026-07-04,0.000206283217971035,0.000315821684984453,0.470588235294118,0.872549019607843,102
"CovidHub-ensemble",2026-07-11,0.000220764177461537,0.000338934375112386,0.516339869281046,0.947712418300654,153
"CovidHub-ensemble",2026-07-18,0.000239653569179726,0.000356368181529501,0.612745098039216,0.950980392156863,204
"UGA_flucast-INFLAenza",2026-06-27,0.000156117483180725,0.000243291691329758,0.62,0.92,50
"UGA_flucast-INFLAenza",2026-07-04,0.00017366661288587,0.000251008340085339,0.66,0.88,100
"UGA_flucast-INFLAenza",2026-07-11,0.000192248468339748,0.000291247978793816,0.6,0.913333333333333,150
"UGA_flucast-INFLAenza",2026-07-18,0.000232921390778816,0.000363544964867601,0.5,0.945,200
