"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID",0.66677808764124,0.00102096956890115,0.717512958683926,0.00158350952896036,0.484251968503937,0.92992125984252,1270
"CFA_Pyrenew-Pyrenew_E_COVID",0.692834230498756,0.000689862910791577,0.773407931350757,0.00107757609858786,0.493299445471349,0.937846580406654,4472
"CFA_Pyrenew-Pyrenew_HE_COVID",0.715819398532948,0.000728556193341396,0.794733131052922,0.00113314938940324,0.485283560660445,0.933237616654702,4321
"CMU-TimeSeries",0.8370375703961,0.0013084081071249,0.925079480398869,0.00197582668775572,0.409199912797035,0.869304556354916,9684
"CovidHub-baseline",1,0.00131704463801206,1,0.00188184655400894,0.715556624188507,0.975354652560712,8828
"CovidHub-ensemble",0.609451281597321,0.000462962921851318,0.690980410219246,0.000700557524284159,0.521112865035517,0.934688239936859,5578
"UGA_flucast-INFLAenza",0.634251553953052,0.000818924746235919,0.706060031135533,0.00126515501924494,0.474206349206349,0.911640211640212,8060
